,date,state,cases
0,2020-07-04,Ελλάδα,25
1,2020-07-05,Ελλάδα,34
2,2020-07-06,Ελλάδα,77
3,2020-07-07,Ελλάδα,110
4,2020-07-08,Ελλάδα,143
5,2020-07-09,Ελλάδα,193
6,2020-07-10,Ελλάδα,253
7,2020-07-11,Ελλάδα,294
8,2020-07-12,Ελλάδα,325
9,2020-07-13,Ελλάδα,349
10,2020-07-14,Ελλάδα,407
11,2020-07-15,Ελλάδα,434
12,2020-07-16,Ελλάδα,469
13,2020-07-17,Ελλάδα,497
14,2020-07-18,Ελλάδα,523
15,2020-07-19,Ελλάδα,547
16,2020-07-20,Ελλάδα,558
17,2020-07-21,Ελλάδα,594
18,2020-07-22,Ελλάδα,626
19,2020-07-23,Ελλάδα,659
20,2020-07-24,Ελλάδα,685
21,2020-07-25,Ελλάδα,716
22,2020-07-26,Ελλάδα,743
23,2020-07-27,Ελλάδα,778
24,2020-07-28,Ελλάδα,830
25,2020-07-29,Ελλάδα,887
26,2020-07-30,Ελλάδα,952
27,2020-07-31,Ελλάδα,1030
28,2020-08-01,Ελλάδα,1140
29,2020-08-02,Ελλάδα,1215
30,2020-08-03,Ελλάδα,1292
31,2020-08-04,Ελλάδα,1413
32,2020-08-05,Ελλάδα,1537
33,2020-08-06,Ελλάδα,1690
34,2020-08-07,Ελλάδα,1841
35,2020-08-08,Ελλάδα,1993
36,2020-08-09,Ελλάδα,2146
37,2020-08-10,Ελλάδα,2269
38,2020-08-11,Ελλάδα,2465
39,2020-08-12,Ελλάδα,2727
40,2020-08-13,Ελλάδα,2931
41,2020-08-14,Ελλάδα,3185
42,2020-08-15,Ελλάδα,3415
43,2020-08-16,Ελλάδα,3632
44,2020-08-17,Ελλάδα,3782
45,2020-08-18,Ελλάδα,4051
46,2020-08-19,Ελλάδα,4268
47,2020-08-20,Ελλάδα,4519
48,2020-08-21,Ελλάδα,4728
49,2020-08-22,Ελλάδα,4992
50,2020-08-23,Ελλάδα,5276
51,2020-08-24,Ελλάδα,5446
52,2020-08-25,Ελλάδα,5614
53,2020-08-26,Ελλάδα,5907
54,2020-08-27,Ελλάδα,6166
55,2020-08-28,Ελλάδα,6436
56,2020-08-29,Ελλάδα,6613
57,2020-08-30,Ελλάδα,6770
58,2020-08-31,Ελλάδα,6953
59,2020-09-01,Ελλάδα,7160
60,2020-09-02,Ελλάδα,7393
61,2020-09-03,Ελλάδα,7634
62,2020-09-04,Ελλάδα,7836
63,2020-09-05,Ελλάδα,8023
64,2020-09-06,Ελλάδα,8166
65,2020-09-07,Ελλάδα,8322
66,2020-09-08,Ελλάδα,8488
67,2020-09-09,Ελλάδα,8734
68,2020-09-10,Ελλάδα,9115
69,2020-09-11,Ελλάδα,9411
70,2020-09-12,Ελλάδα,9718
71,2020-09-13,Ελλάδα,9938
72,2020-09-14,Ελλάδα,10121
73,2020-09-15,Ελλάδα,10438
74,2020-09-16,Ελλάδα,10756
